序号,非标地址,对应标准地址
701,古楼北里21号204室,福建省厦门市思明区古楼北里21号204室
702,44国贸新城40号601室,福建省厦门市思明区前埔二里40号601室
703,洪文六里厦航洪文小区(洪文六里)33$301室,福建省厦门市思明区洪文六里33号301室
704,前埔一里前埔北一里155$605室,福建省厦门市思明区前埔一里155号605室
705,西林东路-295号莲云-406室,福建省厦门市思明区西林东路295号406室
706,前埔一里前埔北一里52#106室,福建省厦门市思明区前埔一里52号106室
707,洪文六里152号莲翔社区102室,福建省厦门市思明区洪文六里152号102室
708,前埔一里151号前埔北-506室,福建省厦门市思明区前埔一里151号506室
709,前埔五里华林一期三期212#602室,福建省厦门市思明区前埔五里212号602室
710,洪文五里华瑞花园14#401室,福建省厦门市思明区洪文五里14号401室
711,店上东里店上东西里小区78#606室,福建省厦门市思明区店上东里78号606室
712,店上东里前埔南小区(店上东西里)78$606室,福建省厦门市思明区店上东里78号606室
713,店上东里店上东西里小区97#103室,福建省厦门市思明区店上东里97号103室
714,嘉盛豪园洪莲西里1号503,福建省厦门市思明区洪莲西里1号503室
715,莲前西路-184号龙山桥/306室,福建省厦门市思明区莲前西路184号306室
716,西林路-40号莲怡社区503室,福建省厦门市思明区西林路40号503室
717,洪文一里瑞景新村87$202室,福建省厦门市思明区洪文一里87号202室
718,西林社111号公寓111号403室,福建省厦门市思明区西林社111号403室
719,洪文村洪文五里85号<851>莲前街道洪文村洪文社区|莲前街道|101室,福建省厦门市思明区洪文五里85号101室
720,洪文村洪文四里17号<7537>莲前街道瑞景社区|莲前街道|1101室,福建省厦门市思明区洪文四里17号1101室
721,厦航洪文小区(洪文六里)13号402室,福建省厦门市思明区洪文六里13号402室
722,洪莲路104号201室,福建省厦门市思明区洪莲路104号201室
723,洪文八里66号,福建省厦门市思明区洪文八里66号
724,前埔一里166号606室,福建省厦门市思明区前埔一里166号606室
725,西林西里141-2号,福建省厦门市思明区西林西里141-2号
726,西林西里141-5号,福建省厦门市思明区西林西里141-5号
727,西林西里21号702室,福建省厦门市思明区西林西里21号702室
728,古楼北里古楼南里18$703室,福建省厦门市思明区古楼北里18号703室
729,洪莲西路19号,福建省厦门市思明区洪莲西路19号
730,店上东里前埔南小区(店上东西里)97$603室,福建省厦门市思明区店上东里97号603室
731,嘉盛豪园32号14楼,福建省厦门市思明区洪莲西里32号1401室
732,洪文三里21号702,福建省厦门市思明区洪文三里21号702室
733,64前埔北一 里 162号405,福建省厦门市思明区前埔一里162号405室
734,洪文村洪文八里91号(3595)莲前莲翔社区\\莲前\\601室,福建省厦门市思明区洪文八里91号601室
735,洪文石村社北片区8号洪文石村社北片区8号,福建省厦门市思明区洪文石村社北片区8号
736,92金鸡亭花园小区93 号、402 室号、,福建省厦门市思明区西林西里93号402室
737,莲前西路-232号莲怡-702室,福建省厦门市思明区莲前西路232号702室
738,东浦三里26号1602,福建省厦门市思明区东浦三里26号1602室
739,东山社94号,福建省厦门市思明区东山社94号
740,云顶岩路55号<0499>莲前街道|莲云社区|莲前街道|209室,福建省厦门市思明区云顶岩路55号209室
741,57文兴东三里5号201室,福建省厦门市思明区文兴东三里5-1号201室
742,东浦路176号<3203>莲前街道龙山桥社区|莲前街道|601室,福建省厦门市思明区东浦路176号601室
743,文兴东三里30号(941)莲前思明前埔南社区\莲前\704室,福建省厦门市思明区文兴东三里30号704室
744,西林西里144-5号,福建省厦门市思明区西林西里144-5号
745,洪莲里105号<3888>莲前街道侨福社区||莲前街道||301室,福建省厦门市思明区洪莲里105号301室
746,店上东里33号(7174)莲前思明前埔南社区\\莲前\\105室,福建省厦门市思明区店上东里33号105室
747,洪文八里厦航洪文小区(洪文六里)119$201室,福建省厦门市思明区洪文八里119号201室
748,玉成豪园799号1002,福建省厦门市思明区莲前西路799号1002室
749,云顶岩路43号(8309)莲前莲云社区\\莲前\\201室,福建省厦门市思明区云顶岩路43号201室
750,东浦三里4号<4602>莲前街道龙山桥社区||莲前街道||901室,福建省厦门市思明区东浦三里4号901室
751,前埔二里30号201室,福建省厦门市思明区前埔二里30号201室
752,思明前埔五里208号(5958)莲前莲薇社区|莲前|301室,福建省厦门市思明区前埔五里208号301室
753,洪莲里34号莲丰-404室,福建省厦门市思明区洪莲里34号404室
754,店上东里83号前埔南-404室,福建省厦门市思明区店上东里83号404室
755,店上东里83号前埔南社区404室,福建省厦门市思明区店上东里83号404室
756,东浦路134号\2921\莲前龙山桥社区|莲前|207-1室,福建省厦门市思明区东浦路134号207-1室
757,云顶岩路-55号莲云-113室,福建省厦门市思明区云顶岩路55号113室
758,会展南路3号101室,福建省厦门市思明区会展南路3号101室
759,云景花园666号101,福建省厦门市思明区莲前东路666号101室
760,51明发商城52号201室,福建省厦门市思明区西林路52号201室
761,洪文六里厦航洪文小区(洪文六里)4$603室,福建省厦门市思明区洪文六里4号603室
762,前埔二里169号前埔北社区|313室,福建省厦门市思明区前埔二里169号313室
763,86瑞景新村60号201室,福建省厦门市思明区洪文一里60号201室
764,东浦路178号303室,福建省厦门市思明区东浦路178号303室
765,洪莲中二路6号6-4-302室（边检宿舍楼） /,福建省厦门市思明区洪莲中二路6-4号302室
766,古楼北里44号(3037)莲前思明前埔南社区\\莲前\\107室,福建省厦门市思明区古楼北里44号107室
767,前埔一里198号前埔北-101室,福建省厦门市思明区前埔一里198号101室
768,西林东里40号718室,福建省厦门市思明区西林东里40号718室
769,洪文七里38号瑞景社区|1901室,福建省厦门市思明区洪文七里38号1901室
770,金鸡亭小区79号楼梯口,福建省厦门市思明区西林西里79号
771,洪文八里45号莲翔社区701/,福建省厦门市思明区洪文八里45号701室
772,云顶岩路34号\3084\莲前莲云社区|莲前|202室,福建省厦门市思明区云顶岩路34号202室
773,11前埔北区|二里１９４号６０８室,福建省厦门市思明区前埔二里194号608室
774,52国贸新城55号104室,福建省厦门市思明区前埔二里55号104室
775,西林路20-14号,福建省厦门市思明区西林路20-14号
776,莲前东路-802号莲薇-602室,福建省厦门市思明区莲前东路802号602室
777,侨文里21号<5236>莲前街道侨福社区|莲前街道|202室,福建省厦门市思明区侨文里21号202室
778,益辉花园88号3o1室,福建省厦门市思明区洪莲路88号301室
779,洪文六里17号莲翔社区|402室,福建省厦门市思明区洪文六里17号402室
780,44店上东西里小区24号，205室,福建省厦门市思明区店上西里24号205室
781,10前埔北/一里84号602室,福建省厦门市思明区前埔一里84号602室
782,前埔北区|二里171  号\409室,福建省厦门市思明区前埔二里171号409室
783,前埔一里224号前埔北社区101室,福建省厦门市思明区前埔一里224号101室
784,思明前埔五里159号<4159>莲前街道|莲薇社区|莲前街道|501室,福建省厦门市思明区前埔五里159号501室
785,店上东里19号前埔南社区|504室,福建省厦门市思明区店上东里19号504室
786,联丰新城3号楼1201,福建省厦门市思明区洪莲路3号1201室
787,洪文三里洪文三里小区19$304室,福建省厦门市思明区洪文三里19号304室
788,西林东路永裕侨建闽联云顶岩303#301室,福建省厦门市思明区西林东路303号301室
789,侨文里26号(3615)莲前侨福社区\\莲前\\302室,福建省厦门市思明区侨文里26号302室
790,洪文四里4号瑞景社区101室,福建省厦门市思明区洪文四里4号101室
791,东浦路170号部队小区,福建省厦门市思明区东浦路170号
792,洪文六里191号洪文-402室,福建省厦门市思明区洪文六里191号402室
793,店上东里64号前埔南-203室,福建省厦门市思明区店上东里64号203室
794,洪莲中路洪山柄北区73号501室,福建省厦门市思明区洪莲西里73号501室
795,西林村西林社-1号,福建省厦门市思明区西林社-1号
796,洪文二里115号瑞景社区601/,福建省厦门市思明区洪文二里115号601室
797,洪文村洪文一里67号<7895>莲前街道瑞景社区|莲前街道|701室,福建省厦门市思明区洪文一里67号701室
798,西林社87号203室,福建省厦门市思明区西林社87号203室
799,西林西里118-4号店面,福建省厦门市思明区西林西里118-4号
800,西林西里云松居146|502室,福建省厦门市思明区西林西里146号502室
801,洪莲路联丰商城9|C101室,福建省厦门市思明区洪莲路9号C101室
802,莲前东路-621号侨福/201室,福建省厦门市思明区莲前东路621号201室
803,侨洪里侨福城小区一二三期1$1604室,福建省厦门市思明区侨洪里1号1604室
804,前埔一里前埔北一里86$204室,福建省厦门市思明区前埔一里86号204室
805,洪文六里27号502室,福建省厦门市思明区洪文六里27号502室
806,西林东里香榭园云顶花园167|706室,福建省厦门市思明区西林东里167号706室
807,西林西里金鸡亭花园小区38|301室,福建省厦门市思明区西林西里38号301室
808,洪莲里福满山庄92$601室,福建省厦门市思明区洪莲里92号601室
809,洪莲西里嘉盛豪园40|804室,福建省厦门市思明区洪莲西里40号804室
810,东浦三里3号龙山桥-1002室,福建省厦门市思明区东浦三里3号1002室
811,洪莲里福满山庄106|301室,福建省厦门市思明区洪莲里106号301室
812,红星安华小区1号802,福建省厦门市思明区东浦三里1号802室
813,店上东里前埔南小区(店上东西里)91$503室,福建省厦门市思明区店上东里91号503室
814,莲前西路202号,福建省厦门市思明区莲前西路202号
815,都市新巢2号1011,福建省厦门市思明区洪莲中路613号1011室
816,洪文五里1-6号小东北铁锅炖,福建省厦门市思明区洪文五里1-6号
817,洪莲中路296号瑞景双座第一栋3楼316,福建省厦门市思明区洪莲中路296号316室
818,侨洪里37号酒吧,福建省厦门市思明区侨洪里37号
819,西林东里144号莲云-C120室,福建省厦门市思明区西林东里144号C120室
820,东浦路-176号龙山桥-C104室,福建省厦门市思明区东浦路176号C104室
821,洪文村洪文三里21号<2139>莲前街道瑞景社区|莲前街道|C108室,福建省厦门市思明区洪文三里21号C108室
822,莲前西路-178号龙山桥社区C102室,福建省厦门市思明区莲前西路178号C102室
823,洪莲中路213-3号232室,福建省厦门市思明区洪莲中路213-3号232室
824,洪莲里联丰商城60$C115室,福建省厦门市思明区洪莲里60号C115室
825,文兴东二里10号前埔南-404室,福建省厦门市思明区文兴东二里10号404室
826,古楼南里4号701室,福建省厦门市思明区古楼南里4号701室
827,店上西里7号前埔南社区404/,福建省厦门市思明区店上西里7号404室
828,洪莲路益辉花园104$502室,福建省厦门市思明区洪莲路104号502室
829,益辉花园102号401室,福建省厦门市思明区洪莲路102号401室
830,前埔五里华林绿景花园159$601室,福建省厦门市思明区前埔五里159号601室
831,店上东里24号\6723\莲前思明前埔南社区|莲前|503室,福建省厦门市思明区店上东里24号503室
832,西林路-38号莲怡-101室,福建省厦门市思明区西林路38号101室
833,前埔二里144号前埔北社区203室,福建省厦门市思明区前埔二里144号203室
834,西林东里202号莲云-402室,福建省厦门市思明区西林东里202号402室
835,洪山柄北区136号302室,福建省厦门市思明区洪莲西里136号302室
836,洪莲西里144号洪文-402室,福建省厦门市思明区洪莲西里144号402室
837,洪莲东二里8号万景-2701室,福建省厦门市思明区洪莲东二里8号2701室
838,前埔二里前埔北区二里200$603室,福建省厦门市思明区前埔二里200号603室
839,洪莲西里83号洪文/402室,福建省厦门市思明区洪莲西里83号402室
840,洪莲西里76号洪文社区|301室,福建省厦门市思明区洪莲西里76号301室
841,洪文一里100号-瑞景社区301室,福建省厦门市思明区洪文一里100号301室
842,东浦路150号402室,福建省厦门市思明区东浦路150号402室
843,前埔西路-194号莲薇社区702室,福建省厦门市思明区前埔西路194号702室
844,洪文一里71号瑞景社区601/,福建省厦门市思明区洪文一里71号601室
845,店上东里62号前埔南社区802/,福建省厦门市思明区店上东里62号802室
846,店上西里31号前埔南/605室,福建省厦门市思明区店上西里31号605室
847,店上东里19号前埔南社区303室,福建省厦门市思明区店上东里19号303室
848,前埔北区|二里2o1号6o2室,福建省厦门市思明区前埔二里201号602室
849,洪莲西二路1462号2楼226室,福建省厦门市思明区洪莲西二路1462号226室
850,洪文一里瑞景新村19#202室,福建省厦门市思明区洪文一里19号202室
851,莲前东路808号(5308)莲前莲薇社区\\莲前\\C107室,福建省厦门市思明区莲前东路808号C107室
852,华瑞花园50号C101室,福建省厦门市思明区洪文五里50号C101室
853,前埔二里168-4号前埔北-201室,福建省厦门市思明区前埔二里168-4号201室
854,前埔一里139-1号,福建省厦门市思明区前埔一里139-1号
855,红星瑞景小区1号楼201,福建省厦门市思明区洪文四里1号201室
856,金尚路-32号莲顺社区102/,福建省厦门市思明区金尚路32号102室
857,店上东里前埔南小区(店上东西里)76#202室,福建省厦门市思明区店上东里76号202室
858,86前埔北/一里64号402室,福建省厦门市思明区前埔一里64号402室
859,前埔二里国贸新城36$304室,福建省厦门市思明区前埔二里36号304室
860,49华林东盛花园1号1003室,福建省厦门市思明区前埔东一里1号1003室
861,莲前西路云亭花园344#602室,福建省厦门市思明区莲前西路344-2号602室
862,前埔一里前埔北一里228$602室,福建省厦门市思明区前埔一里228号602室
863,思明前埔一里215号<2393>莲前街道前埔北社区|莲前街道|511室,福建省厦门市思明区前埔一里215号511室
864,洪莲路益辉花园90$202室,福建省厦门市思明区洪莲路90号202室
865,店上东里店上东西里小区91$604室,福建省厦门市思明区店上东里91号604室
866,10前埔北/一里164号102室,福建省厦门市思明区前埔一里164号102室
867,前埔一里前埔北一里180$705室,福建省厦门市思明区前埔一里180号705室
868,金磊花园33号2o4室,福建省厦门市思明区西林西二里33号204室
869,前埔西路377号,福建省厦门市思明区前埔西路377号
870,店上东里39号前埔南-206室,福建省厦门市思明区店上东里39号206室
871,93瑞景新村56号702室,福建省厦门市思明区洪文一里56号702室
872,洪山柄北区135号201室,福建省厦门市思明区洪莲西里135号201室
873,洪文六里云景花园140#702室,福建省厦门市思明区洪文六里140号702室
874,洪文村洪文一里4号<6388>莲前街道瑞景社区||莲前街道||601室,福建省厦门市思明区洪文一里4号601室
875,莲前西路云亭花园332#602室,福建省厦门市思明区莲前西路332号602室
876,前埔二里前埔北区二里219$604室,福建省厦门市思明区前埔二里219号604室
877,前埔东一里7号前埔北社区1401室,福建省厦门市思明区前埔东一里7号1401室
878,古楼南里38号606室,福建省厦门市思明区古楼北里38号606室
879,店上东里前埔南小区(店上东西里)92#301室,福建省厦门市思明区店上东里92号301室
880,店上东里店上东西里小区92#301室,福建省厦门市思明区店上东里92号301室
881,前埔一里前埔北一里231$505室,福建省厦门市思明区前埔一里231号505室
882,前埔二里52号前埔北社区301-1室,福建省厦门市思明区前埔二里52号301-1室
883,东浦路172号(7496)莲前龙山桥社区|莲前|C112室,福建省厦门市思明区东浦路172号C112室
884,易地办安置房158号702室,福建省厦门市思明区西林西里158号702室
885,西林东里9号701室,福建省厦门市思明区西林东里9号701室
886,68广顺花园717号601室,福建省厦门市思明区莲前西路717号601室
887,瑞景新村42号102室,福建省厦门市思明区洪文一里42号102室
888,洪文八里76号,福建省厦门市思明区洪文八里76号
889,莲前东路-754号莲薇/408室,福建省厦门市思明区莲前东路754号408室
890,洪文五里华瑞花园17|401室,福建省厦门市思明区洪文五里17号401室
891,建群雅苑43号401,福建省厦门市思明区前埔一里43号401室
892,莲前东路840号(1447)莲前街道|莲薇社区||莲前街道||105室,福建省厦门市思明区莲前东路840号105室
893,西林西二里14号莲怡-102室,福建省厦门市思明区西林西二里14号102室
894,前埔一里189号前埔北社区601室,福建省厦门市思明区前埔一里189号601室
895,田厝路-3号前埔北社区407室,福建省厦门市思明区田厝路3号407室
896,洪文一里98号瑞景社区302|,福建省厦门市思明区洪文一里98号302室
897,东方大院38号602、,福建省厦门市思明区金尚路38号602室
898,洪莲里113号侨福-102室,福建省厦门市思明区洪莲里113号102室
899,金鸡亭花园小区98号301室,福建省厦门市思明区西林西里98号301室
900,洪莲东二里41号-万景社区|1101室,福建省厦门市思明区洪莲东二里41号1101室
901,洪文八里98号莲翔社区601室,福建省厦门市思明区洪文八里98号601室
902,文兴东一里13号前埔南社区606室,福建省厦门市思明区文兴东一里13号606室
903,西林东里金鸡亭花园小区123$101室,福建省厦门市思明区西林东里123号101室
904,前埔一里200号前埔北-605室,福建省厦门市思明区前埔一里200号605室
905,洪文三里7号瑞景-301室,福建省厦门市思明区洪文三里7号301室
906,洪文六里厦航洪文小区(洪文六里)39$701室,福建省厦门市思明区洪文六里39号701室
907,云顶中路-729号莲顺社区503|,福建省厦门市思明区云顶中路729号503室
908,洪莲西里27号莲丰社区701室,福建省厦门市思明区洪莲西里27号701室
909,洪莲西里30号302,福建省厦门市思明区洪莲西里30号302室
910,洪文五里91#洪文社区404室,福建省厦门市思明区洪文五里91号404室
911,前埔六里9号莲翔社区|1802室,福建省厦门市思明区前埔六里9号1802室
912,角美镇会展北路6号E栋宿舍楼201室,福建省厦门市思明区会展北路6号201室
913,瑞景新村83号5o2室,福建省厦门市思明区洪文一里83号502室
914,洪文八里40号,福建省厦门市思明区洪文八里40号
915,前埔一里233号901室,福建省厦门市思明区前埔一里233号901室
916,古楼北里24号前埔南社区|506室,福建省厦门市思明区古楼北里24号506室
917,前埔东一里16号前埔东一里16号1202室,福建省厦门市思明区前埔东一里16号1202室
918,东芳山庄51号,福建省厦门市思明区东芳山庄51号
919,前埔店上东里100号501,福建省厦门市思明区店上东里100号501室
920,店上东里100号前埔南社区501室,福建省厦门市思明区店上东里100号501室
921,洪莲里64号302室,福建省厦门市思明区洪莲里64号302室
922,云顶中路民盛安置房735$502室,福建省厦门市思明区云顶中路735号502室
923,洪文村洪文一里66号(5471)莲前瑞景社区\\莲前\\102室,福建省厦门市思明区洪文一里66号102室
924,洪莲路益辉花园62#701室,福建省厦门市思明区洪莲路62号701室
925,48嘉盛豪园101号702室,福建省厦门市思明区莲前东路101号702室
926,思明前埔一里77号<5563>莲前街道前埔北社区|莲前街道|402室,福建省厦门市思明区前埔一里77号402室
927,前埔二里183#前埔北社区504室,福建省厦门市思明区前埔二里183号504室
928,洪文村洪文一里109号(8464)莲前瑞景社区\莲前\302室,福建省厦门市思明区洪文一里109号302室
929,61前埔南小区/(店上东西 里 )92号502,福建省厦门市思明区店上东里92号502室
930,莲前东路-752号莲薇社区402室,福建省厦门市思明区莲前东路752号402室
931,前埔东一里3#前埔北社区802室,福建省厦门市思明区前埔东一里3号802室
932,洪莲路17-137号,福建省厦门市思明区洪莲路17-137号
933,思明前埔一里154号<863>莲前街道前埔北社区||莲前街道||407室,福建省厦门市思明区前埔一里154号407室
934,洪文六里云景花园138$102室,福建省厦门市思明区洪文六里138号102室
935,前埔一里221号407室,福建省厦门市思明区前埔一里221号407室
936,思明前埔二里165号(2329)莲前街道前埔北社区\\莲前街道\\105室,福建省厦门市思明区前埔二里165号105室
937,金尚路36号<2443>莲前街道|莲顺社区|莲前街道|101室,福建省厦门市思明区金尚路36号101室
938,厦航洪文小区(洪文六里)58号202室,福建省厦门市思明区洪文六里58号202室
939,51店上东西里小区87号604室,福建省厦门市思明区店上东里87号604室
940,思明前埔东一里6号(3493)莲前思明前埔北社区\莲前\603室,福建省厦门市思明区前埔东一里6号603室
941,潘宅南小区189号302之1室,福建省厦门市思明区洪文六里189号302-1室
942,云顶中路-705号莲顺-301室,福建省厦门市思明区云顶中路705号301室
943,洪文四里15号1202室,福建省厦门市思明区洪文四里15号1202室
944,莲前西路-242#莲怡社区703室,福建省厦门市思明区莲前西路242号703室
945,店上东里74号<4706>莲前街道前埔南社区||莲前街道||506室,福建省厦门市思明区店上东里74号506室
946,店上东里81号404室,福建省厦门市思明区店上东里81号404室
947,古楼北里70号(6031)莲前思明前埔南社区\\莲前\\404室,福建省厦门市思明区古楼北里70号404室
948,文兴东三里25号前埔南-201室,福建省厦门市思明区文兴东三里25号201室
949,洪文六里15号莲翔社区|102室,福建省厦门市思明区洪文六里15号102室
950,前埔五里156号莲薇社区301室,福建省厦门市思明区前埔五里156号301室
951,店上东里66号(533)莲前街道前埔南社区\\莲前街道\\605室,福建省厦门市思明区店上东里66号605室
952,西林东里141号302室,福建省厦门市思明区西林东里141号302室
953,思明前埔五里156号<8835>莲前街道|莲薇社区|莲前街道|202室,福建省厦门市思明区前埔五里156号202室
954,东浦路138-1号,福建省厦门市思明区东浦路138-1号
955,莲前西路-743号莲顺社区501|,福建省厦门市思明区莲前西路743号501室
956,东浦路-252号龙山桥社区|701室,福建省厦门市思明区东浦路252号701室
957,洪莲里98号侨福社区|201室,福建省厦门市思明区洪莲里98号201室
958,西林西里2号金鸡亭社区103|,福建省厦门市思明区西林西里2号103室
959,店上东里54号前埔南-502室,福建省厦门市思明区店上东里54号502室
960,洪文八里100号莲翔-302室,福建省厦门市思明区洪文八里100号302室
961,前埔二里130号前埔北社区|205室,福建省厦门市思明区前埔二里130号205室
962,莲前西路-112号龙山桥社区702/,福建省厦门市思明区莲前西路112号702室
963,洪莲西里36号1002室,福建省厦门市思明区洪莲西里36号1002室
964,莲前西路-707号莲顺社区704室,福建省厦门市思明区莲前西路707号704室
965,洪文一里1号瑞景社区502|,福建省厦门市思明区洪文一里1号502室
966,前埔二里3号702室,福建省厦门市思明区前埔二里3号702室
967,洪文八里120号302室,福建省厦门市思明区洪文八里120号302室
968,西林西二里24号莲怡社区202室,福建省厦门市思明区西林西二里24号202室
969,东芳山庄39号,福建省厦门市思明区东芳山庄39号
970,洪文七里82-2号莲翔社区602室,福建省厦门市思明区洪文七里82-2号602室
971,西林西二里3号莲怡-402室,福建省厦门市思明区西林西二里3号402室
972,前埔一里63号603室,福建省厦门市思明区前埔一里63号603室
973,前埔二里国贸新城37$201室,福建省厦门市思明区前埔二里37号201室
974,莲前西路-144#龙山桥社区202室,福建省厦门市思明区莲前西路144号202室
975,洪莲里新潘宅小区85$201-7室,福建省厦门市思明区洪莲里85号201-7室
976,前埔二里28-14号,福建省厦门市思明区前埔二里28-14号
977,西林社121号403室,福建省厦门市思明区西林社121号403室
978,洪文石村社南片区46号204室,福建省厦门市思明区洪文石村社南片区46号204室
979,东浦路180号<3137>莲前街道龙山桥社区|莲前街道|C107室,福建省厦门市思明区东浦路180号C107室
980,东浦三里18号(6065)莲前街道龙山桥社区||莲前街道||C110室,福建省厦门市思明区东浦三里18号C110室
981,华林绿景花园137号201、,福建省厦门市思明区前埔五里137号201室
982,洪文村洪文一里27号<2027>莲前街道瑞景社区||莲前街道||401室,福建省厦门市思明区洪文一里27号401室
983,洪文村洪文一里35号(151)莲前瑞景社区\\莲前\\401室,福建省厦门市思明区洪文一里35号401室
984,店上西里店上东西里小区52#203室,福建省厦门市思明区店上西里52号203室
985,前埔一里前埔北一里236$1105室,福建省厦门市思明区前埔一里236号1105室
986,前埔一里226号206室,福建省厦门市思明区前埔一里226号206室
987,莲前东路748号(9217)莲前莲薇社区\\莲前\\505室,福建省厦门市思明区莲前东路748号505室
988,思明前埔东一里1号<8152>莲前街道前埔北社区|莲前街道|902室,福建省厦门市思明区前埔东一里1号902室
989,前埔二里前埔北区二里169#413室,福建省厦门市思明区前埔二里169号413室
990,前埔五里华林一期三期209$803室,福建省厦门市思明区前埔五里209号803室
991,古楼北里3号(561)莲前思明前埔南社区\\莲前\\201室,福建省厦门市思明区古楼北里3号201室
992,洪莲西里52号501室,福建省厦门市思明区洪莲西里52号501室
993,店上西里10号<3679>莲前街道前埔南社区||莲前街道||206室,福建省厦门市思明区店上西里10号206室
994,洪莲路-11号莲丰-202室,福建省厦门市思明区洪莲路11号202室
995,云顶中路534号,福建省厦门市思明区云顶中路534号
996,莲前西路342-2号\4569\莲前莲怡社区|莲前|202室,福建省厦门市思明区莲前西路342-2号202室
997,洪文村洪文五里12号(1256)莲前瑞景社区\\莲前\\201室,福建省厦门市思明区洪文五里12号201室
998,洪莲西里150号102室,福建省厦门市思明区洪莲西里150号102室
999,70洪山柄北区15o号1o2室,福建省厦门市思明区洪莲西里150号102室
1000,东浦三里12号(6505)莲前龙山桥社区\\莲前\\102室,福建省厦门市思明区东浦三里12号102室
